# Solver information
# Time        	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.471429      	smoothSolver	1.591700e-03	9.942290e-08	457	true	smoothSolver	3.959850e-03	9.942740e-08	258	true	GAMG	9.564550e-03	3.434230e-05	2	true
0.478571      	smoothSolver	1.683070e-03	9.938770e-08	458	true	smoothSolver	3.908820e-03	9.873970e-08	261	true	GAMG	1.038750e-02	3.391660e-05	2	true
0.485714      	smoothSolver	2.632660e-03	9.935210e-08	462	true	smoothSolver	4.164060e-03	9.782970e-08	267	true	GAMG	1.275890e-02	4.279830e-05	2	true
0.492857      	smoothSolver	2.895550e-03	9.997640e-08	463	true	smoothSolver	4.222930e-03	9.884640e-08	269	true	GAMG	1.387310e-02	4.093150e-05	2	true
0.5           	smoothSolver	2.276800e-03	9.952070e-08	462	true	smoothSolver	3.974030e-03	9.882640e-08	270	true	GAMG	1.661220e-02	5.125140e-05	2	true
0.507143      	smoothSolver	1.893470e-03	9.964680e-08	460	true	smoothSolver	3.746200e-03	9.793680e-08	271	true	GAMG	1.951790e-02	5.981400e-05	2	true
0.514286      	smoothSolver	1.859620e-03	9.983700e-08	458	true	smoothSolver	3.673520e-03	9.966170e-08	271	true	GAMG	2.464190e-02	6.645320e-05	2	true
0.521429      	smoothSolver	1.551560e-03	9.958630e-08	457	true	smoothSolver	3.429780e-03	9.925470e-08	272	true	GAMG	1.406960e-02	4.062370e-05	2	true
0.528571      	smoothSolver	1.541580e-03	9.904960e-08	457	true	smoothSolver	3.387600e-03	9.831840e-08	273	true	GAMG	1.340730e-02	4.409010e-05	2	true
0.535714      	smoothSolver	1.422920e-03	9.848790e-08	457	true	smoothSolver	3.269230e-03	9.826190e-08	274	true	GAMG	1.422880e-02	1.379240e-04	1	true
0.542857      	smoothSolver	1.374910e-03	9.943110e-08	456	true	smoothSolver	3.199260e-03	9.808320e-08	275	true	GAMG	1.432110e-02	4.964900e-05	2	true
0.55          	smoothSolver	1.328020e-03	9.955630e-08	446	true	smoothSolver	3.144020e-03	9.989300e-08	271	true	GAMG	1.757220e-02	4.657540e-05	2	true
0.557143      	smoothSolver	1.215160e-03	9.855590e-08	448	true	smoothSolver	3.033130e-03	9.882350e-08	273	true	GAMG	1.806230e-02	6.912600e-05	2	true
0.564286      	smoothSolver	1.255060e-03	9.909210e-08	449	true	smoothSolver	3.020250e-03	9.975050e-08	274	true	GAMG	1.879890e-02	4.404890e-05	2	true
0.571429      	smoothSolver	1.240900e-03	9.864630e-08	450	true	smoothSolver	2.970890e-03	9.995660e-08	275	true	GAMG	1.795070e-02	7.493760e-05	2	true
0.578571      	smoothSolver	1.204310e-03	9.864300e-08	450	true	smoothSolver	2.921500e-03	9.780500e-08	276	true	GAMG	1.973810e-02	4.772860e-05	2	true
0.585714      	smoothSolver	1.144970e-03	9.888430e-08	450	true	smoothSolver	2.851280e-03	9.973230e-08	276	true	GAMG	2.079220e-02	8.677160e-05	2	true
0.592857      	smoothSolver	1.142380e-03	9.975990e-08	449	true	smoothSolver	2.832140e-03	9.819740e-08	277	true	GAMG	2.671100e-02	2.408770e-04	1	true
0.6           	smoothSolver	1.160590e-03	9.965700e-08	449	true	smoothSolver	2.807720e-03	9.977620e-08	277	true	GAMG	2.530920e-02	9.774350e-05	2	true
0.607143      	smoothSolver	1.046590e-03	9.939550e-08	439	true	smoothSolver	2.714240e-03	9.813970e-08	274	true	GAMG	1.732600e-02	6.385220e-05	2	true
0.614286      	smoothSolver	1.105820e-03	9.933100e-08	441	true	smoothSolver	2.706170e-03	9.946230e-08	275	true	GAMG	1.734510e-02	4.931970e-05	2	true
0.621429      	smoothSolver	1.083860e-03	9.920660e-08	442	true	smoothSolver	2.658580e-03	9.842850e-08	276	true	GAMG	1.921630e-02	7.293330e-05	2	true
0.628571      	smoothSolver	1.069210e-03	9.989520e-08	442	true	smoothSolver	2.616760e-03	9.907560e-08	276	true	GAMG	1.938210e-02	1.866260e-04	1	true
0.635714      	smoothSolver	1.020210e-03	9.960790e-08	433	true	smoothSolver	2.567960e-03	9.963000e-08	272	true	GAMG	2.131970e-02	8.227890e-05	2	true
0.642857      	smoothSolver	1.038110e-03	9.949050e-08	435	true	smoothSolver	2.539500e-03	9.906860e-08	273	true	GAMG	2.198400e-02	1.938750e-04	1	true
0.65          	smoothSolver	1.054560e-03	9.971660e-08	439	true	smoothSolver	2.517870e-03	9.982690e-08	275	true	GAMG	2.425620e-02	9.616120e-05	2	true
0.65625       	smoothSolver	9.587910e-04	9.977900e-08	381	true	smoothSolver	2.296330e-03	9.990490e-08	239	true	GAMG	2.375170e-02	2.084220e-04	1	true
0.6625        	smoothSolver	9.604140e-04	9.949480e-08	385	true	smoothSolver	2.271050e-03	9.819930e-08	241	true	GAMG	2.421580e-02	9.822700e-05	2	true
0.66875       	smoothSolver	9.089950e-04	9.836760e-08	382	true	smoothSolver	2.222640e-03	9.878100e-08	240	true	GAMG	2.535180e-02	1.932910e-04	1	true
0.675         	smoothSolver	9.451400e-04	9.865250e-08	385	true	smoothSolver	2.226930e-03	9.801370e-08	241	true	GAMG	2.372880e-02	8.765990e-05	2	true
0.68125       	smoothSolver	9.226150e-04	9.907420e-08	379	true	smoothSolver	2.202020e-03	9.908110e-08	238	true	GAMG	1.219960e-02	5.204500e-05	2	true
0.6875        	smoothSolver	8.891110e-04	9.890950e-08	386	true	smoothSolver	2.164680e-03	9.772120e-08	242	true	GAMG	1.295510e-02	4.839260e-05	2	true
0.69375       	smoothSolver	8.991080e-04	9.975310e-08	379	true	smoothSolver	2.143130e-03	9.948900e-08	238	true	GAMG	1.574170e-02	6.457400e-05	2	true
0.7           	smoothSolver	9.050550e-04	9.842060e-08	384	true	smoothSolver	2.119450e-03	9.769080e-08	240	true	GAMG	1.775300e-02	4.449400e-05	2	true
0.707143      	smoothSolver	9.307650e-04	9.948700e-08	427	true	smoothSolver	2.238310e-03	9.919590e-08	269	true	GAMG	2.287480e-02	8.141130e-05	2	true
0.714286      	smoothSolver	9.764190e-04	9.916680e-08	435	true	smoothSolver	2.234320e-03	9.930060e-08	274	true	GAMG	2.348320e-02	2.021550e-04	1	true
0.721429      	smoothSolver	9.402470e-04	9.899930e-08	426	true	smoothSolver	2.200870e-03	9.991490e-08	268	true	GAMG	2.452330e-02	8.847900e-05	2	true
0.728571      	smoothSolver	9.289730e-04	9.884360e-08	424	true	smoothSolver	2.167090e-03	9.878690e-08	269	true	GAMG	2.808600e-02	2.438780e-04	1	true
0.735714      	smoothSolver	9.079820e-04	9.898320e-08	417	true	smoothSolver	2.138150e-03	9.962040e-08	264	true	GAMG	3.047910e-02	1.158650e-04	2	true
0.742857      	smoothSolver	8.588040e-04	9.947750e-08	425	true	smoothSolver	2.099390e-03	9.995110e-08	268	true	GAMG	3.079520e-02	2.678950e-04	1	true
0.75          	smoothSolver	9.525980e-04	9.940410e-08	418	true	smoothSolver	2.129350e-03	9.975000e-08	263	true	GAMG	2.097550e-02	8.603580e-05	2	true
0.757143      	smoothSolver	8.513630e-04	9.973090e-08	422	true	smoothSolver	2.061160e-03	9.883650e-08	269	true	GAMG	1.524090e-02	6.579060e-05	2	true
0.764286      	smoothSolver	9.312720e-04	9.949740e-08	417	true	smoothSolver	2.072870e-03	9.927160e-08	266	true	GAMG	1.428980e-02	5.412570e-05	2	true
0.771429      	smoothSolver	7.999110e-04	9.860760e-08	416	true	smoothSolver	2.007560e-03	9.834180e-08	266	true	GAMG	1.821000e-02	7.877720e-05	2	true
0.778571      	smoothSolver	8.471130e-04	9.914860e-08	421	true	smoothSolver	2.004230e-03	9.798960e-08	267	true	GAMG	2.060430e-02	1.949130e-04	1	true
0.785714      	smoothSolver	8.435920e-04	9.889980e-08	421	true	smoothSolver	1.981660e-03	9.929950e-08	268	true	GAMG	2.285500e-02	8.405530e-05	2	true
0.792857      	smoothSolver	8.258650e-04	9.987140e-08	413	true	smoothSolver	1.952960e-03	9.865630e-08	263	true	GAMG	2.395960e-02	1.809600e-04	1	true
0.8           	smoothSolver	8.241360e-04	9.930690e-08	415	true	smoothSolver	1.931790e-03	9.884300e-08	266	true	GAMG	2.372930e-02	8.903720e-05	2	true
0.807143      	smoothSolver	7.981510e-04	9.953890e-08	412	true	smoothSolver	1.903480e-03	9.823700e-08	265	true	GAMG	2.727030e-02	1.967160e-04	1	true
0.814286      	smoothSolver	7.894300e-04	9.900170e-08	411	true	smoothSolver	1.886360e-03	9.981190e-08	264	true	GAMG	2.971320e-02	1.168830e-04	2	true
0.821429      	smoothSolver	7.987730e-04	9.925390e-08	414	true	smoothSolver	1.872480e-03	9.818590e-08	268	true	GAMG	2.693510e-02	8.249090e-05	2	true
0.828571      	smoothSolver	8.254840e-04	9.974840e-08	400	true	smoothSolver	1.858440e-03	9.963240e-08	263	true	GAMG	1.454710e-02	5.908910e-05	2	true
0.835714      	smoothSolver	7.884350e-04	9.906530e-08	407	true	smoothSolver	1.825950e-03	9.810340e-08	268	true	GAMG	1.353030e-02	5.794640e-05	2	true
0.842857      	smoothSolver	7.591030e-04	9.971620e-08	405	true	smoothSolver	1.795400e-03	9.925340e-08	266	true	GAMG	1.461780e-02	4.510810e-05	2	true
0.85          	smoothSolver	7.739720e-04	9.916920e-08	412	true	smoothSolver	1.772790e-03	9.899560e-08	270	true	GAMG	1.704800e-02	6.688400e-05	2	true
0.857143      	smoothSolver	7.468220e-04	9.937090e-08	404	true	smoothSolver	1.745670e-03	9.998850e-08	264	true	GAMG	1.949270e-02	1.831850e-04	1	true
0.864286      	smoothSolver	7.995880e-04	9.862230e-08	414	true	smoothSolver	1.745420e-03	9.844780e-08	274	true	GAMG	1.993220e-02	7.186320e-05	2	true
0.871429      	smoothSolver	7.305110e-04	9.973490e-08	400	true	smoothSolver	1.702890e-03	9.967490e-08	267	true	GAMG	2.034990e-02	1.519120e-04	1	true
0.878571      	smoothSolver	7.204960e-04	9.875780e-08	410	true	smoothSolver	1.680350e-03	9.860840e-08	272	true	GAMG	2.056460e-02	7.238940e-05	2	true
0.885714      	smoothSolver	7.284570e-04	9.864990e-08	407	true	smoothSolver	1.669550e-03	9.968330e-08	271	true	GAMG	2.306790e-02	1.724290e-04	1	true
0.892857      	smoothSolver	7.262000e-04	9.907620e-08	417	true	smoothSolver	1.658710e-03	9.821080e-08	277	true	GAMG	2.415450e-02	9.361850e-05	2	true
0.9           	smoothSolver	6.977000e-04	9.991330e-08	403	true	smoothSolver	1.648440e-03	9.804790e-08	271	true	GAMG	2.439940e-02	1.719820e-04	1	true
0.907143      	smoothSolver	7.074890e-04	9.995550e-08	408	true	smoothSolver	1.679940e-03	9.791250e-08	273	true	GAMG	1.827210e-02	7.719120e-05	2	true
0.914286      	smoothSolver	6.329820e-04	9.962990e-08	416	true	smoothSolver	1.650660e-03	9.869190e-08	277	true	GAMG	1.251850e-02	4.780640e-05	2	true
0.921429      	smoothSolver	6.888790e-04	9.901080e-08	409	true	smoothSolver	1.639920e-03	9.833120e-08	273	true	GAMG	1.263550e-02	4.114640e-05	2	true
0.928571      	smoothSolver	6.722980e-04	9.983160e-08	416	true	smoothSolver	1.612730e-03	9.899380e-08	277	true	GAMG	1.380280e-02	5.734820e-05	2	true
0.935714      	smoothSolver	6.937600e-04	9.951210e-08	413	true	smoothSolver	1.605910e-03	9.887190e-08	275	true	GAMG	1.477000e-02	3.816360e-05	2	true
0.942857      	smoothSolver	6.223500e-04	9.868160e-08	409	true	smoothSolver	1.558740e-03	9.789360e-08	274	true	GAMG	1.584530e-02	6.181760e-05	2	true
0.95          	smoothSolver	6.785930e-04	9.890360e-08	421	true	smoothSolver	1.558280e-03	9.877480e-08	279	true	GAMG	1.605440e-02	1.412680e-04	1	true
0.957143      	smoothSolver	6.189670e-04	9.952640e-08	409	true	smoothSolver	1.518260e-03	9.875360e-08	274	true	GAMG	1.633530e-02	6.232460e-05	2	true
0.964286      	smoothSolver	6.493810e-04	9.902250e-08	414	true	smoothSolver	1.502660e-03	9.983450e-08	275	true	GAMG	1.665810e-02	1.490830e-04	1	true
0.971429      	smoothSolver	7.098500e-04	9.983900e-08	546	true	smoothSolver	1.532830e-03	9.995150e-08	326	true	GAMG	1.855990e-02	6.841020e-05	2	true
0.978571      	smoothSolver	7.426010e-04	9.952440e-08	587	true	smoothSolver	1.537310e-03	9.947440e-08	342	true	GAMG	1.835810e-02	1.678020e-04	1	true
0.985714      	smoothSolver	6.411880e-04	9.950100e-08	613	true	smoothSolver	1.496960e-03	9.868230e-08	352	true	GAMG	1.799660e-02	6.926420e-05	2	true
0.992857      	smoothSolver	7.327850e-04	9.976060e-08	624	true	smoothSolver	1.513210e-03	9.983000e-08	354	true	GAMG	1.867380e-02	1.687790e-04	1	true
1             	smoothSolver	7.776240e-04	9.960160e-08	624	true	smoothSolver	1.517660e-03	9.853640e-08	355	true	GAMG	1.975880e-02	6.681780e-05	2	true
1.00714       	smoothSolver	7.962010e-04	9.946940e-08	627	true	smoothSolver	1.514800e-03	9.898060e-08	352	true	GAMG	1.166680e-02	4.346170e-05	2	true
1.01429       	smoothSolver	7.409160e-04	9.960590e-08	630	true	smoothSolver	1.564130e-03	9.942740e-08	354	true	GAMG	9.832030e-03	3.354620e-05	2	true
1.02143       	smoothSolver	7.711570e-04	9.913160e-08	625	true	smoothSolver	1.559470e-03	9.854450e-08	348	true	GAMG	1.104350e-02	4.546840e-05	2	true
1.02857       	smoothSolver	7.441100e-04	9.945320e-08	630	true	smoothSolver	1.494190e-03	9.892050e-08	352	true	GAMG	1.199180e-02	3.559340e-05	2	true
1.03571       	smoothSolver	7.902110e-04	9.913140e-08	627	true	smoothSolver	1.477780e-03	9.834100e-08	347	true	GAMG	1.239750e-02	4.664670e-05	2	true
1.04286       	smoothSolver	8.096210e-04	9.959130e-08	623	true	smoothSolver	1.452540e-03	9.939160e-08	345	true	GAMG	1.167780e-02	3.453580e-05	2	true
1.05          	smoothSolver	7.764620e-04	9.986180e-08	621	true	smoothSolver	1.424740e-03	9.830000e-08	344	true	GAMG	1.196190e-02	4.650770e-05	2	true
1.05714       	smoothSolver	8.060370e-04	9.900780e-08	621	true	smoothSolver	1.409650e-03	9.833010e-08	342	true	GAMG	1.235010e-02	3.887780e-05	2	true
1.06429       	smoothSolver	8.285910e-04	9.927780e-08	620	true	smoothSolver	1.398200e-03	9.923780e-08	341	true	GAMG	1.277170e-02	5.111940e-05	2	true
1.07143       	smoothSolver	8.246150e-04	9.976430e-08	622	true	smoothSolver	1.378890e-03	9.859770e-08	341	true	GAMG	1.308470e-02	4.074990e-05	2	true
1.07857       	smoothSolver	8.469640e-04	9.908900e-08	624	true	smoothSolver	1.374880e-03	9.997710e-08	342	true	GAMG	1.319800e-02	5.183590e-05	2	true
1.08571       	smoothSolver	9.427000e-04	9.895000e-08	621	true	smoothSolver	1.383830e-03	9.897010e-08	340	true	GAMG	1.317230e-02	3.920370e-05	2	true
1.09286       	smoothSolver	9.745350e-04	9.928690e-08	615	true	smoothSolver	1.374650e-03	9.998800e-08	336	true	GAMG	1.252260e-02	4.990700e-05	2	true
1.1           	smoothSolver	9.947890e-04	9.924220e-08	617	true	smoothSolver	1.383880e-03	9.989720e-08	338	true	GAMG	1.250880e-02	3.568440e-05	2	true
1.10714       	smoothSolver	1.205100e-03	9.910900e-08	620	true	smoothSolver	1.442550e-03	9.856850e-08	340	true	GAMG	1.319010e-02	4.854810e-05	2	true
1.11429       	smoothSolver	1.173290e-03	9.989380e-08	622	true	smoothSolver	1.425970e-03	9.878130e-08	343	true	GAMG	1.432860e-02	3.811430e-05	2	true
