# y+ ()       
# Time        	patch         	min           	max           	average       
2.2           	lowerWall	8.133453e-01	1.098642e+02	2.838281e+01
2.25          	rightWall	3.766451e-01	3.965515e+01	7.401725e+00
2.25          	leftWall	4.457767e-01	2.189803e+01	4.659903e+00
2.25          	lowerWall	5.081931e-01	1.097115e+02	2.901236e+01
2.3           	rightWall	4.433322e-01	3.927214e+01	7.253078e+00
2.3           	leftWall	6.448906e-01	2.315286e+01	4.954290e+00
2.3           	lowerWall	5.741561e-01	1.109205e+02	2.947995e+01
2.35          	rightWall	3.348535e-01	3.876335e+01	7.210451e+00
2.35          	leftWall	8.348748e-01	2.458016e+01	5.206627e+00
2.35          	lowerWall	4.896132e-01	9.726565e+01	2.982428e+01
2.4           	rightWall	3.270913e-01	3.810739e+01	7.296523e+00
2.4           	leftWall	1.304395e+00	2.593736e+01	5.640013e+00
2.4           	lowerWall	7.563356e-01	8.973748e+01	2.992303e+01
2.45          	rightWall	4.563801e-01	3.737042e+01	7.189536e+00
2.45          	leftWall	1.392044e+00	2.749959e+01	5.930384e+00
2.45          	lowerWall	7.387016e-01	8.049112e+01	3.003302e+01
2.5           	rightWall	5.834333e-01	3.659498e+01	7.308631e+00
2.5           	leftWall	1.439449e+00	2.889911e+01	6.455730e+00
2.5           	lowerWall	1.279255e+00	7.836374e+01	3.014699e+01
2.55          	rightWall	6.162137e-01	3.578844e+01	7.270967e+00
2.55          	leftWall	1.429006e+00	3.049638e+01	6.888426e+00
2.55          	lowerWall	1.391547e+00	8.158752e+01	3.012714e+01
2.6           	rightWall	6.370469e-01	3.487594e+01	7.357129e+00
2.6           	leftWall	1.414885e+00	3.189603e+01	7.536398e+00
2.6           	lowerWall	1.847108e+00	8.324572e+01	2.994878e+01
2.65          	rightWall	6.193061e-01	3.407834e+01	7.454349e+00
2.65          	leftWall	1.286310e+00	3.348057e+01	8.100518e+00
2.65          	lowerWall	1.556677e+00	9.939971e+01	2.999084e+01
2.7           	rightWall	7.575165e-01	3.347134e+01	7.449068e+00
2.7           	leftWall	1.011105e+00	3.485771e+01	8.774676e+00
2.7           	lowerWall	1.921407e+00	8.530177e+01	3.004636e+01
2.75          	rightWall	6.560860e-01	3.298623e+01	7.523912e+00
2.75          	leftWall	4.841548e-01	3.624162e+01	9.439398e+00
2.75          	lowerWall	2.013047e+00	9.063796e+01	3.017310e+01
2.8           	rightWall	5.223645e-01	3.262141e+01	7.602094e+00
2.8           	leftWall	4.611445e-01	3.743841e+01	1.015479e+01
2.8           	lowerWall	1.877090e+00	7.717104e+01	2.999226e+01
2.85          	rightWall	2.382259e-01	3.230181e+01	7.778454e+00
2.85          	leftWall	6.361345e-01	3.880869e+01	1.079307e+01
2.85          	lowerWall	2.098539e+00	7.401403e+01	2.990312e+01
2.9           	rightWall	3.924886e-01	3.274227e+01	8.007538e+00
2.9           	leftWall	5.433019e-01	4.020780e+01	1.142535e+01
2.9           	lowerWall	2.038674e+00	7.761812e+01	3.031611e+01
2.95          	rightWall	4.338093e-01	3.238654e+01	8.291769e+00
2.95          	leftWall	5.922875e-01	4.149731e+01	1.196748e+01
2.95          	lowerWall	1.913124e+00	7.306386e+01	3.021559e+01
3             	rightWall	3.527701e-01	3.263235e+01	8.532595e+00
3             	leftWall	6.859195e-01	4.276984e+01	1.251312e+01
3             	lowerWall	2.008314e+00	7.844155e+01	3.025012e+01
3.05          	rightWall	2.650078e-01	3.256086e+01	8.933536e+00
3.05          	leftWall	7.325594e-01	4.392442e+01	1.297616e+01
3.05          	lowerWall	2.196585e+00	9.075807e+01	3.027937e+01
3.1           	rightWall	2.844840e-01	3.246580e+01	9.226091e+00
3.1           	leftWall	7.558686e-01	4.498141e+01	1.341223e+01
3.1           	lowerWall	1.879507e+00	8.914945e+01	3.039039e+01
3.15          	rightWall	3.657598e-01	3.261020e+01	9.381056e+00
3.15          	leftWall	7.240326e-01	4.583481e+01	1.380372e+01
3.15          	lowerWall	1.489734e+00	8.837231e+01	3.068222e+01
3.2           	rightWall	1.663034e-01	3.227233e+01	9.621223e+00
3.2           	leftWall	7.682529e-01	4.663768e+01	1.412086e+01
3.2           	lowerWall	9.335809e-01	8.693043e+01	3.114242e+01
3.25          	rightWall	2.929612e-01	3.182380e+01	9.788074e+00
3.25          	leftWall	7.406420e-01	4.734779e+01	1.443200e+01
3.25          	lowerWall	8.410992e-01	9.033220e+01	3.149661e+01
3.3           	rightWall	1.331413e-01	3.164095e+01	9.772221e+00
3.3           	leftWall	7.758279e-01	4.781701e+01	1.457854e+01
3.3           	lowerWall	1.505215e+00	9.179116e+01	3.184170e+01
3.35          	rightWall	2.077352e-01	3.091283e+01	9.903293e+00
3.35          	leftWall	7.561102e-01	4.824330e+01	1.469122e+01
3.35          	lowerWall	1.730395e+00	9.288820e+01	3.210905e+01
3.4           	rightWall	2.694817e-01	3.058087e+01	9.880944e+00
3.4           	leftWall	7.501145e-01	4.854666e+01	1.486006e+01
3.4           	lowerWall	1.969774e+00	9.473543e+01	3.240997e+01
3.45          	rightWall	2.469224e-01	2.998542e+01	9.918826e+00
3.45          	leftWall	7.843062e-01	4.872561e+01	1.486419e+01
3.45          	lowerWall	1.845655e+00	9.723360e+01	3.282467e+01
