# y+ ()         
# Time          	patch           	min             	max             	average         
3.3             	leftWall	7.75827740e-01	4.78169370e+01	1.45786244e+01
3.3             	lowerWall	1.50526562e+00	9.17821438e+01	3.18416255e+01
3.35            	rightWall	2.07733940e-01	3.09044194e+01	9.90182518e+00
3.35            	leftWall	7.56107220e-01	4.82430357e+01	1.46912045e+01
3.35            	lowerWall	1.73034603e+00	9.28791204e+01	3.21090618e+01
3.4             	rightWall	2.69528113e-01	3.05869943e+01	9.88255428e+00
3.4             	leftWall	7.50108539e-01	4.85463909e+01	1.48599575e+01
3.4             	lowerWall	1.96971266e+00	9.47260747e+01	3.24099722e+01
3.45            	rightWall	2.46905984e-01	2.99796665e+01	9.91810598e+00
3.45            	leftWall	7.84302029e-01	4.87251752e+01	1.48641701e+01
3.45            	lowerWall	1.84565713e+00	9.72240553e+01	3.28244774e+01
3.5             	rightWall	3.25824534e-01	2.94212422e+01	9.85682716e+00
3.5             	leftWall	7.44669637e-01	4.87981274e+01	1.48823375e+01
3.5             	lowerWall	1.19785474e+00	9.97594395e+01	3.31422777e+01
3.55            	rightWall	6.11323696e-01	2.90601148e+01	9.96777415e+00
3.55            	leftWall	6.67067721e-01	4.87548642e+01	1.48773376e+01
3.55            	lowerWall	1.10977182e+00	1.02135232e+02	3.34350255e+01
3.6             	rightWall	6.25147605e-01	2.85582231e+01	9.93507102e+00
3.6             	leftWall	5.92814986e-01	4.85836284e+01	1.47714139e+01
3.6             	lowerWall	1.16740729e+00	1.04351056e+02	3.37076963e+01
3.65            	rightWall	5.69923985e-01	2.80348013e+01	9.85382949e+00
3.65            	leftWall	5.08880691e-01	4.83515546e+01	1.46710195e+01
3.65            	lowerWall	1.27555611e+00	1.06455016e+02	3.39700228e+01
3.7             	rightWall	5.52474988e-01	2.78433405e+01	9.87907769e+00
3.7             	leftWall	3.98259132e-01	4.79785619e+01	1.44824943e+01
3.7             	lowerWall	1.27124646e+00	1.08282572e+02	3.40995244e+01
3.75            	rightWall	5.03320804e-01	2.76388596e+01	9.85022231e+00
3.75            	leftWall	3.36084011e-01	4.76080575e+01	1.42779142e+01
3.75            	lowerWall	1.07582242e+00	1.09354715e+02	3.42708001e+01
3.8             	rightWall	4.68038134e-01	2.74396264e+01	9.74903800e+00
3.8             	leftWall	2.68582375e-01	4.71293115e+01	1.41091565e+01
3.8             	lowerWall	1.70091691e+00	1.10094200e+02	3.44536694e+01
3.85            	rightWall	4.25109726e-01	2.72922597e+01	9.65145166e+00
3.85            	leftWall	1.98383127e-01	4.66233488e+01	1.38737364e+01
3.85            	lowerWall	1.70816770e+00	1.10171206e+02	3.46052593e+01
3.9             	rightWall	3.77104655e-01	2.72125973e+01	9.64237722e+00
3.9             	leftWall	1.68903473e-01	4.60770519e+01	1.36636239e+01
3.9             	lowerWall	1.75488241e+00	1.09604002e+02	3.47083436e+01
3.95            	rightWall	3.40555104e-01	2.73240737e+01	9.62521313e+00
3.95            	leftWall	1.14955415e-01	4.54702392e+01	1.33859489e+01
3.95            	lowerWall	1.83398045e+00	1.08554334e+02	3.47432433e+01
4               	rightWall	2.78353414e-01	2.74809847e+01	9.54709174e+00
4               	leftWall	5.87122601e-02	4.48724494e+01	1.30987167e+01
4               	lowerWall	1.39932132e+00	1.07323356e+02	3.48078037e+01
4.05            	rightWall	9.85675490e-02	2.76549213e+01	9.43972468e+00
4.05            	leftWall	8.73296949e-02	4.42004339e+01	1.28127165e+01
4.05            	lowerWall	5.90323029e-01	1.07005037e+02	3.47339193e+01
4.1             	rightWall	1.52502352e-01	2.78647623e+01	9.34750353e+00
4.1             	leftWall	1.80362330e-01	4.35245655e+01	1.25161935e+01
4.1             	lowerWall	1.08683699e+00	1.07048263e+02	3.46142319e+01
4.15            	rightWall	1.30016313e-01	2.81126228e+01	9.37551634e+00
4.15            	leftWall	1.78493087e-01	4.28171843e+01	1.22403967e+01
4.15            	lowerWall	1.48747470e+00	1.07850284e+02	3.44549753e+01
4.2             	rightWall	1.88256229e-01	2.84951789e+01	9.40568458e+00
4.2             	leftWall	1.86514308e-01	4.20616234e+01	1.18976820e+01
4.2             	lowerWall	1.86709701e+00	1.10727923e+02	3.43065826e+01
4.25            	rightWall	1.84902182e-01	2.89258885e+01	9.32938342e+00
4.25            	leftWall	2.44781580e-01	4.13184477e+01	1.15684558e+01
4.25            	lowerWall	1.89060515e+00	1.11780006e+02	3.41331189e+01
4.3             	rightWall	3.08342942e-01	2.93337773e+01	9.46258841e+00
4.3             	leftWall	2.61230752e-01	4.05327586e+01	1.12203263e+01
4.3             	lowerWall	2.03881512e+00	1.11030715e+02	3.39886832e+01
4.35            	rightWall	4.02039641e-01	2.97749377e+01	9.70406505e+00
4.35            	leftWall	2.84509789e-01	3.97236965e+01	1.07881706e+01
4.35            	lowerWall	2.03216513e+00	1.09985282e+02	3.37974486e+01
4.4             	rightWall	7.44905124e-01	3.03913909e+01	9.88772704e+00
4.4             	leftWall	2.25120741e-01	3.88982448e+01	1.04534544e+01
4.4             	lowerWall	1.86606171e+00	1.08944754e+02	3.35891411e+01
4.45            	rightWall	1.14054669e+00	3.09193098e+01	1.03187762e+01
4.45            	leftWall	2.38357643e-01	3.80253646e+01	1.01543284e+01
4.45            	lowerWall	2.02921286e+00	1.08029292e+02	3.33636248e+01
